0,1,2
944,944,09-1978,delhi
945,945,09-1978,haryana
946,946,09-1978,haryana
947,947,09-1978,haryana
948,948,07-1978,himachal pradesh
949,949,08-1978,chhattisgarh
950,950,08-1978,himachal pradesh
951,951,02-1978,madhya pradesh
952,952,07-1978,chattisgarh
953,953,07-1978,madhya pradesh
954,954,08-1978,madhya pradesh
955,955,08-1978,chattisgarh
956,956,08-1978,madhya pradesh
957,957,02-1978,maharashtra
958,958,06-1978,maharashtra
959,959,07-1978,maharashtra
960,960,08-1978,maharashtra
961,961,08-1978,maharashtra
962,962,08-1978,gujrat
963,963,07-1978,punjab
964,964,08-1978,punjab
965,965,08-1978,punjab
966,966,08-1978,punjab
967,967,08-1978,punjab
968,968,08-1978,punjab
969,969,07-1978,rajasthan
970,970,07-1978,rajasthan
971,971,07-1978,rajasthan
972,972,07-1978,rajasthan
